[2019/04/14 14:26:07][INFO][getSentenceFromID]  Retrieving single sentence...
[2019/04/14 14:26:07][INFO][getSentenceFromID]  Got sentence.
[2019/04/14 14:26:07][INFO][getSentenceFromID]  Received request for sentence with id#999
[2019/04/14 14:26:07][INFO][getSentenceFromID]  Retrieving sentences...
[2019/04/14 14:26:07][INFO][getSentenceFromID]  Finding sentence from given id...
[2019/04/14 14:26:07][INFO][getSentenceFromID]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT * FROM cs122b_db143.valid_strings WHERE id = 999;
[2019/04/14 14:26:07][INFO][getSentenceFromID]  Query succeeded
[2019/04/14 14:26:07][INFO][buildModelFromList]  Creating model...
[2019/04/14 14:26:07][INFO][buildModelFromList]  Sentence list is not empty...
[2019/04/14 14:26:07][INFO][buildModelFromList]  Finished building model. Sentences array contains: 
[2019/04/14 14:26:07][INFO][getSentenceFromID]  Sentences retrieved.
[2019/04/14 14:26:07][INFO][isValid]  sentences == null? false
[2019/04/14 14:26:07][INFO][isValid]  sentences.length > 0? false
[2019/04/14 14:26:07][INFO][getSentenceFromID]  No sentence found at id#999
[2019/04/14 14:26:07][INFO][validateString]  Received request to validate sentence.
[2019/04/14 14:26:07][INFO][validateString]  {"input":"obWryqqJIElQFySAzWRgFvGzYxMTuNRaXFUkNPjHIovAiNilVZoizXjoTWUoyBjHrWVALTFEKaPqsPGjSqAoTjHCZqHeWl qvsFSvacRjbdqPmrEvkDLwjaVvpNnyXmTJminVu qEBhYUYXphUATTTSaTKsfCgidtqPzOLiCRPoibsqGwxVrXFvqnxtyteN B GGgqE","len":5}

[2019/04/14 14:26:07][INFO][validateString]  Mapping JSON to request model
[2019/04/14 14:26:07][INFO][isValidLength]  Validate length == number of words in sentence
[2019/04/14 14:26:07][INFO][validateString]  sentence length matched inputted len
[2019/04/14 14:26:07][INFO][validateString]  Inputting into database...
[2019/04/14 14:26:07][INFO][insertSentenceIntoDB]  Inserting sentence into database...
[2019/04/14 14:26:07][INFO][insertSentenceIntoDB]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: INSERT INTO cs122b_db143.valid_strings (sentence, length) VALUES ('obWryqqJIElQFySAzWRgFvGzYxMTuNRaXFUkNPjHIovAiNilVZoizXjoTWUoyBjHrWVALTFEKaPqsPGjSqAoTjHCZqHeWl qvsFSvacRjbdqPmrEvkDLwjaVvpNnyXmTJminVu qEBhYUYXphUATTTSaTKsfCgidtqPzOLiCRPoibsqGwxVrXFvqnxtyteN B GGgqE', 5)
[2019/04/14 14:26:07][INFO][validateString]  Sentence entered into database.
[2019/04/14 14:26:07][INFO][validateString]  Received request to validate sentence.
[2019/04/14 14:26:07][INFO][validateString]  {"input":"TyphlKcnDytElFqJYhNhLKvOuijTkFlfzlXxQCn KWXaRKFhDrfmlnMZIaTleyOFwK BPv QZR LsW h","len":13}

[2019/04/14 14:26:07][INFO][validateString]  Mapping JSON to request model
[2019/04/14 14:26:07][INFO][isValidLength]  Validate length == number of words in sentence
[2019/04/14 14:26:07][INFO][isValidLength]  Validate length == number of words in sentence
[2019/04/14 14:26:07][INFO][validateString]  Sentence length does not match inputted len.
[2019/04/14 14:26:07][INFO][validateString]  Sentence was NOT entered into database.
[2019/04/14 14:26:07][INFO][validateString]  Received request to validate sentence.
[2019/04/14 14:26:07][INFO][validateString]  {"invalid-input":"rtYlewAeYCHkyIrEtZmIsFpOTMBBzWaMZNoSbGSpdPHroNdOAqzlqTSZgHlECDlpQuoOkHayOedkPZup SUpDOAsOrEXLKXVKftmeTOEqMxSyVe vPJs iZt ZTzIe","invalid-len":5}
[2019/04/14 14:26:07][INFO][validateString]  Mapping JSON to request model
[2019/04/14 14:26:07][WARNING][validateString]  Unable to map JSON to POJO.
[2019/04/14 14:26:07][INFO][validateString]  JSON not in correct format..
[2019/04/14 14:26:07][INFO][validateString]  Sentence was NOT entered into database.
[2019/04/14 14:26:07][INFO][validateString]  Received request to validate sentence.
[2019/04/14 14:26:07][INFO][validateString]  {"input":"KHGjsiqgilNnhaXqbMEtZEmXMurwcIutdrgLYYaSOaeZuxkyhBhRJlpjRjZJFTRbTIUpdxFHtJnaeLprKLcJrsiXtHTcAYfRYlMpfcYzbzOpBfObRmLeVgIeAJzvJIsrqYuwVZxgfulhBEDAEwjGHPfjPqZVkfQIusZWdRjAFoFWuKHxFIMxznqGIuYlmTVootyGWJPdAYPwyLSkhaZSfMtlpUizJdbzlpEFTbcIMomLzntJVlHuYEEuMIsubsqQghrFTqapzSpmdcWSEaTCvhyifzhHHeIGxXxJxaEopAufVmBtVMpvxCfUikFWCiCmIcnqOJcIfjZzgAxfMPZoZlugMPJBEmUYaGKrNlCYQsMRgErbIuZacGVY ipLxqyYbLvBrBCCfzNa ybDUH NCZAjIetjo d"}
[2019/04/14 14:26:07][INFO][validateString]  Mapping JSON to request model
[2019/04/14 14:26:07][WARNING][validateString]  Unable to map JSON to POJO.
[2019/04/14 14:26:07][INFO][validateString]  JSON not in correct format..
[2019/04/14 14:26:07][INFO][validateString]  Sentence was NOT entered into database.
[2019/04/14 14:26:07][INFO][validateString]  Received request to validate sentence.
[2019/04/14 14:26:07][INFO][validateString]  {"len":3}
[2019/04/14 14:26:07][INFO][validateString]  Mapping JSON to request model
[2019/04/14 14:26:07][WARNING][validateString]  Unable to map JSON to POJO.
[2019/04/14 14:26:07][INFO][validateString]  JSON not in correct format..
[2019/04/14 14:26:07][INFO][validateString]  Sentence was NOT entered into database.
[2019/04/14 14:26:07][INFO][validateString]  Received request to validate sentence.
[2019/04/14 14:26:07][INFO][validateString]  some_invalid_string_to_break_json{"input":"JyPx FfnujvNRnFbUMSRvIvRFVcVSNtImaagSsClLIIhqTzTxRHqxYxQmYeieaiCGuXhHgXZVBzVeNRCnQFUbUivzjuooDAUVJcbZjBQKlvRiuHLpTqJPLCbhpqYmNBHwoDSbOBsUuNjVAlkXEyGiGlBlDetDngJiSyYNONGFNKQhdlKZEbMGjFdZXmJBvsUIBPWErnkNMVPlYWzsVqyGACUFmLhdORApwqonfLYCXUnAghadYCCSiPzAahIUQHuRuSCIAYmCiMEfTbHSZNaBcnVEyZfUQbUqpVDPzifIDBnlzBPJvsBogfQEvLgZKhMtKUlJUKHWeMvkf UvayEPGvEeJFmkIcGlrvRMsRTScnNvtXbngYxZQCjYEvCyCToBQqYKGQoigxixibXceAvrJTjWIeiMMLkkopoPzTWdTjbRgvRmcFfvsqqD FZmWPbWX Gmmcu","len":5}
[2019/04/14 14:26:07][INFO][validateString]  Mapping JSON to request model
[2019/04/14 14:26:07][WARNING][validateString]  Unable to parse JSON.
[2019/04/14 14:26:07][INFO][validateString]  JSON not in correct format..
[2019/04/14 14:26:07][INFO][validateString]  Sentence was NOT entered into database.
[2019/04/14 14:26:08][INFO][validateString]  Received request to validate sentence.
[2019/04/14 14:26:08][INFO][validateString]  {"input":"vnyXoINiEoGQfnjERotBkCTEGJyUBLTpytabRWiURTkRpBIQsOOTPmYiTrxWECgFKoFxduqFICWwkXBEDtrnlUtdISZPEnVJkLMnzOpauvtfPfGwPaBaKUlkKmNEgjPQJIJgRjosNmucxmjUdLcoOuExXtArzxOvRBWpfJRIUvuWljdnNsvhIKetVVfyRfDFyKkCWS RbrRLczNWD NZRnzfrFVTdNkEC","len":-1}
[2019/04/14 14:26:08][INFO][validateString]  Mapping JSON to request model
[2019/04/14 14:26:08][INFO][isValidLength]  Validate length == number of words in sentence
[2019/04/14 14:26:08][INFO][isValidLength]  Validate length == number of words in sentence
[2019/04/14 14:26:08][INFO][validateString]  Entered length is negative.
[2019/04/14 14:26:08][INFO][validateString]  Sentence was NOT entered into database.
[2019/04/14 14:26:08][INFO][validateString]  Received request to validate sentence.
[2019/04/14 14:26:08][INFO][validateString]  {"input":"","len":364}
[2019/04/14 14:26:08][INFO][validateString]  Mapping JSON to request model
[2019/04/14 14:26:08][INFO][isValidLength]  Validate length == number of words in sentence
[2019/04/14 14:26:08][INFO][isValidLength]  Validate length == number of words in sentence
[2019/04/14 14:26:08][INFO][validateString]  Sentence is empty.
[2019/04/14 14:26:08][INFO][validateString]  Sentence was NOT entered into database.
[2019/04/14 14:26:08][INFO][validateString]  Received request to validate sentence.
[2019/04/14 14:26:08][INFO][validateString]  {"input":"HWcKgnbeYLmbxlnvebyRzEeDBdfjcpQnahoSTmJApgtggjxTszsKbIOCtAzTtqlEaWJinCKZTYFnskmVirQIsRzgNPmGpaYlJEAxPxGRsnlUeHgTrswOpiwfLaMnxqSATAHQwVmQIUHSTGRiHrFHItYRahGaDGngwigxSfAlDCDwXzVlBjqWDRMAYJuzORVgsZbqAulGXYxmikUFPFcIzteihTitPkqaDyhAoiwsOZ hqFvvugZTlSRFOCaejqiaEvXrDMqEFBThxdiSklltrSvQBwnhrUJhKPPjsnSvXRcILEGjWlpOPYPWLCcqhFCnnQfrRYGbLMltjFubEQcntwpDztgQOqUdaPOgleHmdTQeYFRGEcrAWXInQrJrusfRzTSrUlSxMgUwiXMeZFhdsuCsGilnxpsoiRHWXwLrBCZOZrCjqYYhSmYyDKIGvYHyhBDdAwutkKeOlfjSPhCsXXyqtBmFoRUZYNpRLhoYnfDzkmIoISPNsPRBZdgToWMNUUCXJrKIxkoQnlBUJdmEQqyhlwkRuNWdhxlSMnigzdhQB Z LKPUFQggTSDkPoaBLfdYlwYJlqLLXTVosgtBigmk","len":4}
[2019/04/14 14:26:08][INFO][validateString]  Mapping JSON to request model
[2019/04/14 14:26:08][INFO][isValidLength]  Validate length == number of words in sentence
[2019/04/14 14:26:08][INFO][isValidLength]  Validate length == number of words in sentence
[2019/04/14 14:26:08][INFO][validateString]  Input string is over 512 chars.
[2019/04/14 14:26:08][INFO][validateString]  Sentence was NOT entered into database.
[2019/04/14 14:26:08][INFO][helloWorld]  Hello!
[2019/04/14 14:26:08][INFO][getNumRequest]  Received request for number of records.
[2019/04/14 14:26:08][INFO][getNumRequest]  Retrieving sentences...
[2019/04/14 14:26:08][INFO][getAllSentencesFromDB]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT * FROM cs122b_db143.valid_strings
[2019/04/14 14:26:08][INFO][getAllSentencesFromDB]  Query Success. 
[2019/04/14 14:26:08][INFO][addToArray]  Retrieved sentence ID: 1; Sentence: Lorem ipsum dapibus purus a suscipit elit risus ac cras orci ad.; Length: 12
[2019/04/14 14:26:08][INFO][addToArray]  Retrieved sentence ID: 2; Sentence: Etiam vulputate lobortis ultricies gravida fusce.; Length: 6
[2019/04/14 14:26:08][INFO][addToArray]  Retrieved sentence ID: 3; Sentence: Taciti vulputate magna ornare macenas dui, donec morbi suspendisse turpis urna, turpis in tempor por.; Length: 15
[2019/04/14 14:26:08][INFO][addToArray]  Retrieved sentence ID: 4; Sentence: obWryqqJIElQFySAzWRgFvGzYxMTuNRaXFUkNPjHIovAiNilVZoizXjoTWUoyBjHrWVALTFEKaPqsPGjSqAoTjHCZqHeWl qvsFSvacRjbdqPmrEvkDLwjaVvpNnyXmTJminVu qEBhYUYXphUATTTSaTKsfCgidtqPzOLiCRPoibsqGwxVrXFvqnxtyteN B GGgqE; Length: 5
[2019/04/14 14:26:08][INFO][buildModelFromList]  Creating model...
[2019/04/14 14:26:08][INFO][buildModelFromList]  Sentence list is not empty...
[2019/04/14 14:26:08][INFO][buildModelFromList]  Adding sentence #1 to array.
[2019/04/14 14:26:08][INFO][buildModelFromList]  Adding sentence #2 to array.
[2019/04/14 14:26:08][INFO][buildModelFromList]  Adding sentence #3 to array.
[2019/04/14 14:26:08][INFO][buildModelFromList]  Adding sentence #4 to array.
[2019/04/14 14:26:08][INFO][buildModelFromList]  Finished building model. Sentences array contains: 
[2019/04/14 14:26:08][INFO][buildModelFromList]  	ID: 1; Sentence: Lorem ipsum dapibus purus a suscipit elit risus ac cras orci ad.; Length: 12
[2019/04/14 14:26:08][INFO][buildModelFromList]  	ID: 2; Sentence: Etiam vulputate lobortis ultricies gravida fusce.; Length: 6
[2019/04/14 14:26:08][INFO][buildModelFromList]  	ID: 3; Sentence: Taciti vulputate magna ornare macenas dui, donec morbi suspendisse turpis urna, turpis in tempor por.; Length: 15
[2019/04/14 14:26:08][INFO][buildModelFromList]  	ID: 4; Sentence: obWryqqJIElQFySAzWRgFvGzYxMTuNRaXFUkNPjHIovAiNilVZoizXjoTWUoyBjHrWVALTFEKaPqsPGjSqAoTjHCZqHeWl qvsFSvacRjbdqPmrEvkDLwjaVvpNnyXmTJminVu qEBhYUYXphUATTTSaTKsfCgidtqPzOLiCRPoibsqGwxVrXFvqnxtyteN B GGgqE; Length: 5
[2019/04/14 14:26:08][INFO][getNumRequest]  Sentences retrieved.
[2019/04/14 14:26:08][INFO][isValid]  sentences == null? false
[2019/04/14 14:26:08][INFO][isValid]  sentences.length > 0? true
[2019/04/14 14:26:08][INFO][getNumRequest]  Creating new num response model.
[2019/04/14 14:26:08][INFO][getNumRequest]  ResponseModel data is valid.
[2019/04/14 14:26:08][INFO][getSentenceFromID]  Received request for sentence with id#3
[2019/04/14 14:26:08][INFO][getSentenceFromID]  Retrieving sentences...
[2019/04/14 14:26:08][INFO][getSentenceFromID]  Finding sentence from given id...
[2019/04/14 14:26:08][INFO][getSentenceFromID]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT * FROM cs122b_db143.valid_strings WHERE id = 3;
[2019/04/14 14:26:08][INFO][getSentenceFromID]  Query succeeded
[2019/04/14 14:26:08][INFO][addToArray]  Retrieved sentence ID: 3; Sentence: Taciti vulputate magna ornare macenas dui, donec morbi suspendisse turpis urna, turpis in tempor por.; Length: 15
[2019/04/14 14:26:08][INFO][buildModelFromList]  Creating model...
[2019/04/14 14:26:08][INFO][buildModelFromList]  Sentence list is not empty...
[2019/04/14 14:26:08][INFO][buildModelFromList]  Adding sentence #3 to array.
[2019/04/14 14:26:08][INFO][buildModelFromList]  Finished building model. Sentences array contains: 
[2019/04/14 14:26:08][INFO][buildModelFromList]  	ID: 3; Sentence: Taciti vulputate magna ornare macenas dui, donec morbi suspendisse turpis urna, turpis in tempor por.; Length: 15
[2019/04/14 14:26:08][INFO][getSentenceFromID]  Sentences retrieved.
[2019/04/14 14:26:08][INFO][isValid]  sentences == null? false
[2019/04/14 14:26:08][INFO][isValid]  sentences.length > 0? true
[2019/04/14 14:26:08][INFO][getSentenceFromID]  Retrieving single sentence...
[2019/04/14 14:26:08][INFO][getSentenceFromID]  Got sentence.
[2019/04/14 14:26:08][INFO][getSentenceFromID]  Received request for sentence with id#999
[2019/04/14 14:26:08][INFO][getSentenceFromID]  Retrieving sentences...
[2019/04/14 14:26:08][INFO][getSentenceFromID]  Finding sentence from given id...
[2019/04/14 14:26:08][INFO][getSentenceFromID]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT * FROM cs122b_db143.valid_strings WHERE id = 999;
[2019/04/14 14:26:08][INFO][getSentenceFromID]  Query succeeded
[2019/04/14 14:26:08][INFO][buildModelFromList]  Creating model...
[2019/04/14 14:26:08][INFO][buildModelFromList]  Sentence list is not empty...
[2019/04/14 14:26:08][INFO][buildModelFromList]  Finished building model. Sentences array contains: 
[2019/04/14 14:26:08][INFO][getSentenceFromID]  Sentences retrieved.
[2019/04/14 14:26:08][INFO][isValid]  sentences == null? false
[2019/04/14 14:26:08][INFO][isValid]  sentences.length > 0? false
[2019/04/14 14:26:08][INFO][getSentenceFromID]  No sentence found at id#999
[2019/04/14 14:26:08][INFO][validateString]  Received request to validate sentence.
[2019/04/14 14:26:08][INFO][validateString]  {"input":"WyALKnhOQYAKMAuZFIKoJFmLzIEgRBMelISQgDMayWrUYkJFsiKRSwvCBnpRtKGaYTBH f kEoCflWMWLPPTUaUrWxIUyhepCkZfztWmWkEsGHk WVsSkxOHwfUfthE","len":4}

[2019/04/14 14:26:08][INFO][validateString]  Mapping JSON to request model
[2019/04/14 14:26:08][INFO][isValidLength]  Validate length == number of words in sentence
[2019/04/14 14:26:08][INFO][validateString]  sentence length matched inputted len
[2019/04/14 14:26:08][INFO][validateString]  Inputting into database...
[2019/04/14 14:26:08][INFO][insertSentenceIntoDB]  Inserting sentence into database...
[2019/04/14 14:26:08][INFO][insertSentenceIntoDB]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: INSERT INTO cs122b_db143.valid_strings (sentence, length) VALUES ('WyALKnhOQYAKMAuZFIKoJFmLzIEgRBMelISQgDMayWrUYkJFsiKRSwvCBnpRtKGaYTBH f kEoCflWMWLPPTUaUrWxIUyhepCkZfztWmWkEsGHk WVsSkxOHwfUfthE', 4)
[2019/04/14 14:26:08][INFO][validateString]  Sentence entered into database.
[2019/04/14 14:26:08][INFO][validateString]  Received request to validate sentence.
